,accuracy,precision,recall,f1,auc,tiempo_entrenamiento
logistic_regression,0.7239076669414675,0.7496461071789686,0.6371605362667583,0.6888414010963486,0.7917442334026519,0.05815005302429199
random_forest,0.7018961253091509,0.6912786657400973,0.683911997249914,0.6875756004838431,0.760331815710258,3.786870241165161
gradient_boosting,0.7337180544105524,0.7473241590214067,0.6720522516328635,0.7076923076923077,0.7991656558619484,4.249465465545654
xgboost,0.7267106347897774,0.7380635343351721,0.6668958404950155,0.7006772009029345,0.7905873358150332,0.26963257789611816
